0.00,221,420
0.04,221,422
0.08,220,424
0.13,220,426
0.17,220,428
0.21,219,430
0.25,220,431
0.29,220,433
0.33,220,433
0.38,221,436
0.42,220,436
0.46,220,438
0.50,219,437
0.54,220,438
0.58,219,437
0.63,219,437
0.67,218,437
0.71,219,437
0.75,218,437
0.79,218,437
0.83,217,437
0.88,216,437
0.92,216,437
0.96,215,437
1.00,214,438
1.04,212,438
1.08,212,438
1.13,211,438
1.17,211,438
1.21,210,439
1.25,209,439
1.29,209,439
1.33,209,439
1.38,208,439
1.42,207,439
1.46,207,440
1.50,206,440
1.54,205,440
1.58,204,440
1.63,203,440
1.67,202,441
1.71,201,441
1.75,201,441
1.79,200,441
1.84,200,441
1.88,199,442
1.92,199,442
1.96,198,442
2.00,198,442
2.04,197,442
2.09,197,443
2.13,196,443
2.17,198,443
2.21,195,444
2.25,194,444
2.29,194,444
2.34,194,444
2.38,193,445
2.42,192,445
2.46,192,446
2.50,191,446
2.54,190,446
2.59,190,446
2.63,189,446
2.67,189,446
2.71,189,447
2.75,188,447
2.79,188,447
2.84,188,447
2.88,188,447
2.92,187,447
2.96,187,447
3.00,187,448
3.04,186,448
3.09,186,448
3.13,186,448
3.17,186,448
3.21,185,448
3.25,185,448
3.29,184,448
3.34,183,449
3.38,183,449
3.42,182,449
3.46,181,449
3.50,181,449
3.55,180,449
3.59,180,449
3.63,180,449
3.67,180,449
3.71,179,449
3.75,179,449
3.80,179,450
3.84,178,450
3.88,178,450
3.92,177,450
3.96,176,450
4.00,176,449
4.05,175,449
4.09,175,449
4.13,174,449
4.17,174,449
4.21,174,449
4.25,174,449
4.30,176,448
4.34,176,448
4.38,175,448
4.42,175,449
4.46,175,449
4.50,174,449
4.55,174,449
4.59,173,450
4.63,173,450
4.67,172,450
4.71,172,450
4.75,172,450
4.80,172,451
4.84,172,451
4.88,172,451
4.92,172,451
4.96,172,451
