time,x,y
0.00,-1,-1
1.00,-1,-1
2.00,-1,-1
3.00,-1,-1
4.00,-1,-1
5.00,-1,-1
6.00,-1,-1
7.00,-1,-1
8.00,-1,-1
9.00,154,150
